"citing_paper_id","cited_paper_id"
"https://openalex.org/W3090228490","https://openalex.org/W2784806723"
"https://openalex.org/W3090228490","https://openalex.org/W2787117522"
"https://openalex.org/W3090228490","https://openalex.org/W2891637636"
"https://openalex.org/W3090228490","https://openalex.org/W2907370903"
"https://openalex.org/W3090228490","https://openalex.org/W3114706325"
"https://openalex.org/W3068188279","https://openalex.org/W2808428727"
"https://openalex.org/W3068188279","https://openalex.org/W4231972505"
"https://openalex.org/W3002630673","https://openalex.org/W2735264555"
"https://openalex.org/W3002630673","https://openalex.org/W2910997769"
"https://openalex.org/W3002630673","https://openalex.org/W2944938813"
"https://openalex.org/W3002630673","https://openalex.org/W3002782576"
"https://openalex.org/W3002630673","https://openalex.org/W3043823404"
"https://openalex.org/W2800342098","https://openalex.org/W2804053758"
"https://openalex.org/W3155336766","https://openalex.org/W2892685635"
"https://openalex.org/W3155336766","https://openalex.org/W2947271915"
"https://openalex.org/W3102594775","https://openalex.org/W2810419645"
"https://openalex.org/W3102594775","https://openalex.org/W2905493219"
"https://openalex.org/W3102594775","https://openalex.org/W2958292721"
"https://openalex.org/W3102594775","https://openalex.org/W3001955766"
"https://openalex.org/W3102594775","https://openalex.org/W3009694377"
"https://openalex.org/W3102594775","https://openalex.org/W3036529118"
"https://openalex.org/W3012464003","https://openalex.org/W2902375153"
"https://openalex.org/W2900106581","https://openalex.org/W2900106581"
"https://openalex.org/W2810419645","https://openalex.org/W2626235556"
"https://openalex.org/W3159143441","https://openalex.org/W2969428984"
"https://openalex.org/W3159143441","https://openalex.org/W3025987350"
"https://openalex.org/W3159143441","https://openalex.org/W3091340830"
"https://openalex.org/W3189798995","https://openalex.org/W3088512781"
"https://openalex.org/W4282932245","https://openalex.org/W2980663762"
"https://openalex.org/W4400730941","https://openalex.org/W2804406438"
"https://openalex.org/W4400730941","https://openalex.org/W3009221443"
"https://openalex.org/W4400730941","https://openalex.org/W4206377902"
"https://openalex.org/W4224250553","https://openalex.org/W3040915683"
"https://openalex.org/W4224250553","https://openalex.org/W4229023904"
"https://openalex.org/W3131956693","https://openalex.org/W2787117522"
"https://openalex.org/W3131956693","https://openalex.org/W3014552496"
"https://openalex.org/W3131956693","https://openalex.org/W3090228490"
"https://openalex.org/W2916674581","https://openalex.org/W2900575807"
"https://openalex.org/W2916674581","https://openalex.org/W2992335110"
